,completed
16424,1
16427,1
16429,0
16430,1
16432,1
16435,0
16437,0
16439,1
16442,1
16445,0
16446,1
16448,1
16450,1
16453,0
16454,1
16456,0
16458,1
16461,0
16463,0
16464,0
16465,0
16466,0
16467,0
16468,0
16469,1
16471,0
16472,0
16473,0
16474,0
16475,1
16478,0
16479,0
16481,1
16483,0
16484,0
16485,0
16487,0
16489,0
16490,1
16493,1
16495,1
16497,1
16500,0
16501,1
16503,0
16505,1
16508,1
16511,0
16512,0
16514,1
16517,1
16520,1
16523,1
16526,0
16527,0
16528,1
16530,1
16532,1
16534,0
16535,0
16536,0
16537,0
16539,0
16541,1
16544,0
16545,1
16547,1
16549,1
16552,0
16553,0
16554,0
16556,1
16558,0
16559,0
16560,0
16562,0
16563,0
16564,1
16567,1
16570,1
16572,0
16573,0
16575,0
16576,0
16577,0
16579,1
16581,1
16583,0
16584,1
16586,0
16587,0
16588,0
16589,0
16590,1
16593,0
16594,0
16595,1
16597,1
16599,1
16601,0
16602,1
16605,0
16607,0
16608,1
16611,0
16612,0
16613,1
16616,0
16617,0
16619,0
16621,1
16622,1
16625,1
16627,0
16628,1
16630,1
16632,1
16635,1
16637,0
16638,0
16640,0
16641,0
16642,0
16643,1
16645,1
16648,0
16649,0
16650,0
16651,0
16652,0
16653,1
16655,0
16656,0
16657,0
16658,0
16659,1
16661,0
16662,1
16665,1
16667,0
16668,0
16670,1
16672,0
16673,0
16674,0
16675,0
16676,1
16679,1
16682,1
16684,0
16685,0
16686,0
16687,1
16689,0
16690,0
16691,0
16692,0
16693,1
16695,1
16698,1
16701,1
16703,1
16706,1
16707,1
16709,0
16710,0
16711,0
16713,1
16716,1
16719,0
16720,1
16722,0
16723,1
16725,1
16728,1
16731,1
16733,1
16735,0
16736,1
16739,0
16740,1
16742,1
16743,1
16745,1
16748,0
16749,1
16752,1
16754,0
16755,0
16756,0
16758,0
16759,1
16761,0
16762,0
16763,0
16764,0
16766,0
16767,0
16768,1
16771,1
16773,1
16776,1
16778,0
16779,0
16781,1
16783,1
16785,1
16787,0
16788,0
16789,1
16792,0
16793,1
16796,1
16799,1
16801,1
16803,1
16805,0
16806,1
16809,0
16810,0
16811,1
16813,0
16814,1
16817,1
16820,1
16823,0
16824,1
16826,1
16828,1
16830,0
16831,0
16832,1
16835,0
16836,0
16837,1
16839,1
16841,1
16843,1
16845,1
16848,0
16849,1
16852,0
16853,0
16854,0
16855,0
16856,1
16858,0
16859,1
16862,0
16863,0
16864,0
16866,1
16868,1
16871,0
16873,0
16874,0
16875,0
16876,1
16878,1
16879,1
16881,0
16883,1
16885,1
16887,1
16889,0
16890,0
16891,0
16893,1
16895,0
16896,0
16898,1
16901,1
16904,0
16905,0
16906,1
16908,0
16909,0
16911,0
16912,1
16914,1
16917,0
16918,1
16921,1
16923,0
16925,0
16927,0
16929,1
16932,1
16934,1
16936,1
16938,1
16941,1
16943,1
16946,1
16949,1
16952,1
16954,1
16956,0
16957,0
16958,0
16960,1
16963,0
16964,0
16965,0
16966,0
16967,0
16968,0
16969,0
16970,0
16971,1
16973,0
16974,1
16976,1
16979,1
16982,1
16984,0
16985,1
16988,0
16989,0
16990,0
16991,0
16992,0
16993,1
16995,1
16997,0
16998,1
17001,0
17003,0
17004,1
17006,1
17009,1
17011,0
17012,0
17014,1
17016,1
17018,1
17020,1
17022,1
17024,1
17026,1
17029,1
17031,0
17032,1
17035,1
17038,1
17041,1
17043,1
17046,1
17049,0
17050,1
17052,0
17053,0
17054,0
17056,0
17057,1
17060,0
17061,0
17062,1
17064,0
17065,0
17066,1
17068,1
17071,0
17072,0
17073,0
17074,1
17076,1
17078,1
17080,0
17081,0
17082,1
17084,0
17086,1
17088,1
17091,1
17094,1
17096,1
17099,0
17100,0
17102,1
17104,1
17106,0
17107,0
17108,0
17110,0
17111,0
17112,1
17115,1
17117,0
17118,1
17121,0
17122,0
17123,1
17125,1
17128,0
17129,0
17130,1
17133,1
17135,0
17136,0
17137,1
17139,1
17141,1
17143,0
17144,0
17145,1
17147,1
17149,0
17150,0
17152,0
17154,1
17157,0
17159,1
17161,1
17162,1
17165,1
17166,1
17169,0
17170,1
17172,1
17174,1
17176,1
17178,1
17180,0
17181,0
17183,1
17186,1
17189,1
17191,1
17193,0
17194,1
17196,0
17197,1
17200,0
17201,0
17202,1
17204,0
17205,1
17207,1
17209,0
17210,1
17213,1
17215,0
17216,1
17218,1
17220,0
17221,0
17223,0
17225,1
17228,0
17229,0
17230,0
17232,0
17234,1
17237,0
17239,0
17241,1
17244,0
17245,1
17247,0
17248,0
17249,0
17250,1
17253,1
17256,1
17258,0
17260,1
17262,0
17263,1
17265,1
17267,0
17268,0
17269,0
17270,1
17272,1
17275,1
17277,0
17278,0
17279,0
17280,0
17281,0
17283,0
17284,0
17285,0
17286,0
17287,1
17290,0
17292,0
17294,0
17295,0
17296,1
17298,1
17300,0
17302,0
17303,1
17306,1
17308,1
17310,1
17312,1
17315,1
17317,0
17319,0
17320,1
17323,1
17326,1
17328,1
17331,0
17332,0
17333,0
17335,0
17337,0
17338,1
17341,0
17342,1
17345,0
17346,0
17347,0
17349,1
17351,0
17352,0
17353,1
17355,0
17356,0
17357,0
17358,1
17361,1
17364,1
17366,0
17367,0
17369,1
17372,1
17375,1
17378,0
17379,1
17382,1
17383,1
17387,1
17390,0
17391,0
17392,0
17394,1
17397,0
17398,0
17399,1
17401,0
17402,1
17404,1
17407,1
17409,1
17412,0
17413,0
17414,0
17415,1
17418,1
17421,1
17424,1
17427,1
17430,1
17433,0
17435,1
17437,0
17438,0
17439,0
17440,1
17442,0
17443,0
17444,1
17446,1
17449,0
17451,0
17453,0
17454,0
17455,0
17456,1
17458,1
17460,0
17461,0
17462,0
17463,1
17466,0
17467,1
17469,0
17470,1
17473,0
17474,0
17475,1
17478,0
17479,0
17481,0
17483,1
17486,0
17487,1
17489,1
17491,0
17493,0
17495,1
17497,0
17499,0
17500,0
17502,0
17504,1
17506,1
17508,0
17510,1
17513,1
17515,0
17516,0
17518,0
17519,0
17521,1
17523,1
17525,0
17527,0
17529,0
17530,0
17532,1
17535,0
17536,1
17538,0
17540,1
17542,1
17545,0
17546,1
17548,1
17550,0
17552,0
17553,1
17555,0
17556,1
17558,1
17561,1
17564,1
17567,1
17569,0
17571,0
17573,1
17574,1
17576,0
17578,1
17581,0
17582,1
17585,0
17587,0
17588,1
17591,0
17592,1
17595,0
17596,0
17598,1
17601,0
17603,0
17604,0
17605,1
17608,0
17610,0
17611,1
17614,0
17615,0
17617,0
17618,1
17620,1
17622,1
17624,0
17626,0
17627,1
17629,1
17632,1
17634,0
17635,0
17637,0
17638,1
17640,1
17642,0
17643,1
17646,1
17648,0
17649,0
17651,0
17652,0
17654,1
17656,0
17657,0
17658,1
17661,0
17663,1
17666,0
17668,1
17671,0
17673,1
17676,0
17677,0
17679,0
17680,1
17683,0
17685,1
17688,1
17691,1
17693,0
17694,0
17696,1
17698,1
17701,0
17703,0
17705,0
17706,1
17709,1
17711,0
17712,0
17714,0
17716,1
17718,1
17719,1
17721,0
17722,1
17724,1
17727,1
17729,0
17730,0
17732,0
17733,1
17736,1
17738,1
17740,0
17742,1
17745,1
17747,1
17749,1
17751,0
17753,1
17755,1
17757,0
17758,1
17761,0
17763,0
17764,0
17765,0
17766,0
17768,0
17769,1
17772,0
17774,0
17775,1
17777,0
17779,0
17780,0
17781,0
17783,1
17786,0
17787,1
17788,1
17790,0
17791,1
17794,1
17797,1
17799,0
17800,1
17803,1
17805,1
17808,1
17810,0
17811,0
17812,0
17813,0
17814,1
17817,0
17818,1
17819,1
17823,1
17825,0
17826,0
17828,0
17829,1
17832,1
17835,0
17836,0
17837,0
17838,1
17841,1
17843,1
17846,0
17848,0
17850,0
17851,0
17853,1
17855,1
17858,0
17860,1
17863,0
17864,0
17865,0
17866,0
17867,0
17868,0
17869,0
17870,0
17872,1
17874,0
17875,0
17876,1
17879,1
17882,0
17883,0
17884,1
17886,0
17888,1
17891,0
17893,1
17895,0
17896,0
17898,1
17900,0
17901,0
17902,1
17905,0
17906,0
17907,0
17908,1
17910,1
17913,0
17914,0
17915,0
17916,1
17919,1
17922,1
17924,1
17926,0
17927,1
17930,1
17932,1
17934,0
17936,0
17938,0
17940,0
17942,0
17943,1
17946,0
17947,0
17948,1
17951,0
17952,1
17955,0
17956,0
17958,0
17960,0
17961,1
17964,1
17966,1
17968,0
17969,0
17970,0
17971,0
17972,0
17974,0
17975,0
17976,0
17977,1
17980,0
17982,0
17983,0
17984,0
17985,0
17986,0
17987,0
17989,0
17990,0
17991,0
17993,1
17995,1
17998,1
18000,1
18002,0
18003,0
18004,1
18007,0
18008,0
18009,0
18011,1
18014,1
18016,0
18017,0
18018,1
18020,0
18021,0
18022,1
18024,1
18026,1
18029,1
18031,1
18033,1
18035,0
18036,0
18037,1
18039,0
18040,1
18042,1
18045,0
18047,0
18049,1
18051,0
18053,1
18055,0
18056,0
18057,1
18059,1
18061,1
18062,1
18065,0
18066,0
18067,1
18069,0
18070,0
18071,1
18074,0
18075,1
18078,0
18080,0
18082,0
18084,1
18085,1
18087,0
18088,1
18091,0
18093,0
18094,1
18096,1
18098,0
18099,1
18102,0
18103,1
18105,0
18106,0
18107,1
18109,0
18110,1
18113,1
18115,1
18117,1
18119,1
18122,1
18125,0
18126,0
18127,0
18128,0
18130,0
18131,1
18134,0
18135,0
18137,0
18138,0
18139,0
18140,0
18142,0
18144,0
18145,0
18146,1
18149,1
18151,1
18153,1
18157,0
18158,1
18160,1
18162,0
18163,0
18165,1
18168,0
18169,1
18171,0
18172,0
18173,1
18176,0
18177,0
18178,1
18181,0
18182,1
18185,0
18186,0
18187,1
18189,0
18190,0
18191,0
18192,1
18195,1
18197,0
18198,1
18200,1
18203,1
18206,0
18208,1
18210,0
18211,0
18212,1
18214,0
18216,1
18218,1
18221,1
18223,1
18225,0
18227,1
18230,1
18233,0
18234,0
18236,0
18238,0
18239,0
18240,0
18241,0
18243,0
18245,1
18247,1
18250,1
18252,1
18254,0
18256,0
18258,0
18260,0
18261,0
18262,0
18263,1
18266,0
18268,0
18269,1
18271,0
18272,1
18274,0
18275,1
18277,1
18279,0
18280,0
18281,0
18282,1
18284,0
18285,0
18286,1
18289,0
18290,0
18291,0
18292,0
18293,0
18294,0
18295,1
18297,1
18300,1
18303,0
18304,0
18306,1
18308,0
18309,0
18310,0
18311,0
18312,0
18313,1
18315,1
18317,1
18319,0
18320,1
18322,1
18325,0
18326,1
18327,1
18330,1
18333,1
18336,0
18337,1
18339,1
18341,0
18342,0
18343,0
18344,0
18345,0
18346,1
18348,1
18350,1
18352,1
18354,0
18355,0
18357,0
18358,1
18360,0
18361,0
18362,0
18364,1
18367,1
18369,0
18371,0
18372,0
18373,1
18376,0
18378,0
18380,0
18381,0
18382,1
18385,0
18387,0
18389,0
18391,0
18392,0
18393,1
18395,1
18397,1
18399,0
18400,1
18402,1
18404,0
18405,0
18407,0
18408,1
18411,0
18412,0
18413,0
18414,0
18415,0
18416,0
18417,1
18419,0
18420,1
18422,1
18425,1
18427,1
18429,1
18432,1
18434,0
18435,1
18438,0
18440,1
18442,0
18443,1
18446,1
18449,1
18452,0
18453,1
18456,1
18458,1
18461,1
18463,0
18465,0
18467,0
18468,1
18471,1
18473,1
18475,1
18478,1
18480,0
18481,1
18483,0
18484,0
18485,0
18486,1
18488,0
18490,0
18491,0
18492,0
18494,0
18495,1
18497,0
18499,0
18500,0
18501,1
18504,1
18507,0
18508,1
18511,0
18512,1
18515,0
18516,1
18518,1
18520,0
18521,0
18522,0
18523,1
18525,1
18527,0
18528,0
18529,0
18531,0
18532,0
18533,0
18534,1
18537,1
18540,0
18541,0
18543,0
18544,0
18545,0
18546,1
18548,1
18550,1
18553,0
18554,1
18555,1
18557,0
18558,1
18561,0
18563,0
18564,1
18567,1
18570,1
18573,1
18576,1
18579,0
18580,1
18582,1
18583,1
18586,1
18589,1
18591,1
18593,1
18596,0
18597,0
18598,0
18599,0
18601,0
18602,1
18604,1
18606,0
18607,0
18609,0
18610,0
18611,1
18613,1
18615,1
18618,0
18620,0
18622,1
18625,0
18626,1
18629,0
18630,1
18633,0
18634,1
18636,0
18637,0
18638,0
18639,0
18640,0
18641,0
18642,0
18643,1
18646,0
18647,0
18648,0
18650,0
18652,0
18653,0
18655,0
18656,1
18658,1
18660,0
18661,0
18663,0
18664,0
18665,0
18667,0
18668,0
18670,0
18672,1
18674,1
18676,1
18679,0
18680,0
18681,1
18683,1
18685,1
18687,1
18690,0
18691,1
18693,0
18694,1
18696,0
18697,1
18700,1
18703,0
18705,0
18706,1
18709,0
18711,1
18713,0
18714,1
18717,1
18720,0
18721,1
18724,0
18726,1
18729,0
18730,0
18731,0
18733,0
18735,1
18738,1
18740,0
18741,0
18742,0
18744,1
18747,1
18750,0
18752,0
18753,1
18755,0
18756,0
18757,0
18759,0
18760,0
18761,0
18762,0
18763,1
18766,1
18767,1
18770,0
18771,0
18772,0
18773,1
18775,0
18776,0
18777,0
18778,1
18780,0
18781,0
18782,1
18785,0
18787,1
18790,1
18793,1
18795,1
18798,1
18800,1
18803,0
18804,0
18805,0
18806,1
18809,0
18811,0
18812,0
18814,0
18815,1
18817,0
18819,1
18822,0
18823,0
18824,0
18825,0
18826,0
18827,0
18829,0
18830,1
18832,0
18834,0
18835,1
18837,0
18839,1
18842,1
18845,1
18847,0
18848,0
18849,0
18850,0
18851,0
18853,0
18855,0
18857,1
18860,0
18861,1
18863,0
18864,1
18866,1
18869,1
18872,0
18873,0
18874,0
18875,1
18878,0
18879,1
18882,1
18884,0
18885,0
18886,1
18888,1
18890,0
18892,0
18894,1
18896,0
18898,1
18900,1
18903,1
18905,1
18907,1
18909,1
18912,1
18915,0
18916,0
18917,1
18920,0
18921,0
18922,0
18923,0
18924,0
18926,1
18928,0
18930,1
18933,0
18934,1
18936,0
18937,0
18939,0
18941,0
18943,1
18946,1
18948,0
18949,1
18952,0
18953,0
18955,0
18956,0
18958,0
18960,1
18962,1
18964,1
18966,0
18967,0
18968,0
18969,0
18970,1
18972,1
18974,0
18975,0
18976,0
18978,0
18979,1
18981,0
18983,1
18985,0
18986,0
18987,1
18989,1
18992,0
18993,1
18995,0
18996,1
18998,1
18999,1
19001,1
19003,1
19005,1
19007,0
19009,0
19011,0
19012,0
19014,0
19015,0
19017,1
19020,1
19022,0
19023,0
19025,1
19027,1
19030,1
19033,0
19034,1
19037,0
19039,1
19041,0
19042,0
19044,1
19047,0
19048,0
19049,0
19051,0
19052,0
19053,0
19054,0
19055,1
19057,0
19058,0
19059,0
19060,1
19062,1
19065,1
19067,1
19070,1
19073,1
19075,1
19077,1
19079,0
19080,0
19082,0
19083,0
19084,1
19086,0
19087,0
19088,0
19089,1
19092,1
19094,1
19096,0
19097,1
19100,0
19102,0
19104,1
19107,0
19108,1
19111,1
19114,0
19115,1
19117,0
19118,1
19120,0
19121,1
19123,1
19125,1
19127,1
19129,1
19131,1
19134,1
19136,1
19139,1
19141,1
19144,0
19145,0
19146,0
19147,0
19149,0
19150,1
19153,1
19155,1
19157,0
19158,1
19160,1
19163,1
19165,0
19167,0
19168,0
19169,1
19172,0
19173,1
19175,0
19176,1
19179,0
19180,1
19183,1
19185,0
19186,0
19187,1
19189,0
19190,1
19193,0
19194,0
19195,1
19198,0
19199,1
19201,0
19202,1
19205,0
19206,0
19207,1
19210,0
19212,0
19213,0
19214,0
19216,0
19218,1
19220,0
19222,0
19224,0
19225,0
19226,0
19227,0
19228,1
19231,0
19232,0
19233,0
19234,1
19236,1
19239,1
19241,1
19243,0
19245,1
19247,1
19248,1
19251,1
19253,1
19255,1
19257,0
19258,1
19260,1
19263,0
19264,0
19265,1
19267,0
19269,0
19270,0
19271,1
19274,0
19276,0
19277,0
19278,1
19281,1
19284,0
19285,1
19288,1
19290,0
19291,0
19292,0
19293,1
19295,1
19298,0
19299,0
19300,0
19302,0
19303,0
19304,0
19306,1
19309,0
19310,0
19311,0
19313,0
19315,0
19317,0
19318,0
19319,1
19321,0
19323,0
19325,1
19327,0
19328,0
19330,0
19331,0
19333,0
19334,0
19335,0
19336,0
19338,0
19339,1
19342,1
19345,0
19346,1
19349,1
19352,0
19353,0
19354,0
19356,1
19358,1
19360,1
19362,1
19365,1
19368,0
19369,1
19371,0
19373,0
19374,1
19376,0
19377,1
19379,1
19381,1
19384,1
19386,0
19387,0
19388,0
19389,1
19391,0
19392,1
19395,0
19397,1
19399,1
19401,1
19404,0
19405,1
19406,1
19409,1
19410,1
19413,0
19414,0
19415,0
19417,1
19418,1
19419,1
19421,0
19422,1
19424,0
19425,1
19427,0
19428,0
19429,0
19430,0
19431,1
19433,0
19434,1
19436,1
19438,1
19440,1
19443,0
19445,1
19447,0
19448,0
19449,0
19450,1
19452,0
19453,1
19455,1
19458,0
19460,0
19462,0
19463,1
19465,1
19467,0
19468,1
19470,0
19472,1
19475,1
19478,1
19481,0
19482,1
19485,1
19488,0
19489,0
19491,0
19492,0
19493,0
19494,1
19496,0
19498,1
19501,0
19502,0
19503,0
19504,0
19505,0
19506,0
19507,1
19510,0
19511,0
19512,1
19514,0
19516,0
19518,1
19521,1
19524,0
19525,0
19526,1
19528,1
19531,0
19532,0
19534,0
19536,0
19537,0
19538,0
19539,1
19541,1
19543,0
19545,1
19547,0
19548,0
19549,0
19551,0
19552,0
19553,1
19555,0
19556,0
19557,0
19558,1
19561,0
19562,0
19563,1
19565,0
19566,0
19567,0
19568,1
19571,0
19573,1
19575,1
19577,1
19580,1
19583,1
19586,0
19587,0
19589,1
19591,1
19592,1
19594,0
19596,0
19597,0
19598,1
19600,1
19602,0
19604,1
19606,1
19608,1
19610,0
19611,1
19613,0
19614,0
19615,1
19618,0
19620,0
19622,0
19623,1
19625,1
19627,0
19628,0
19629,0
19630,0
19631,0
19632,1
19634,1
19637,0
19638,0
19639,1
19641,1
19643,1
19646,1
19649,1
19652,1
19655,0
19656,0
19658,0
19659,0
19660,0
19661,0
19662,1
19664,0
19665,0
19666,0
19668,0
19669,0
19671,1
19674,1
19676,1
19679,0
19680,1
19682,0
19683,0
19684,0
19685,1
19687,1
19689,0
19690,0
19692,0
19694,0
19695,0
19696,1
19698,0
19699,1
19702,0
19704,1
19706,0
19707,0
19708,0
19709,0
19710,0
19711,1
19714,1
19716,0
19718,0
19719,1
19721,1
19723,1
19726,0
19727,1
19729,0
19730,0
19731,0
19732,0
19734,0
19735,0
19736,0
19737,0
19738,0
19739,1
19742,1
19744,1
19745,1
19748,0
19749,0
19751,0
19752,0
19753,0
19754,0
19755,0
19756,1
19758,0
19759,1
19762,0
19763,0
19765,0
19767,0
19769,1
19771,0
19772,0
19773,0
19774,0
19775,1
19778,0
19779,0
19780,0
19781,0
19782,0
19783,1
19784,1
19788,0
19790,0
19791,1
19793,0
19794,1
19796,0
19797,0
19798,0
19799,0
19801,1
19802,1
19804,0
19805,0
19806,1
19809,1
19811,1
19813,1
19815,0
19816,0
19817,1
19819,0
19820,0
19821,1
19824,1
19827,1
19830,1
19832,0
19833,0
19835,0
19836,0
19837,1
19839,0
19840,0
19841,0
19843,1
19846,1
19848,1
19849,1
19852,0
19854,1
19856,0
19857,1
19859,1
19861,0
19862,1
19865,0
19867,1
19870,1
19873,1
19875,1
19877,0
19878,0
19879,0
19880,0
19881,0
19883,0
19885,1
19888,0
19889,0
19890,0
19892,0
19893,0
19894,0
19895,0
19896,0
19897,1
19899,1
19902,1
19904,0
19905,0
19906,1
19908,1
19910,1
19913,1
19915,0
19916,0
19918,0
19919,0
19920,0
19921,1
19923,0
19924,1
19927,1
19930,0
19931,0
19932,0
19933,0
19934,0
19935,0
19936,1
19939,1
19941,0
19942,0
19944,0
19945,1
19948,0
19949,1
19951,0
19952,0
19953,0
19954,0
19955,0
19956,1
19958,0
19959,1
19962,1
19964,0
19966,1
19969,0
19970,0
19971,0
19972,1
19974,0
19975,0
19977,0
19979,0
19981,0
19982,0
19983,1
19986,0
19987,1
19990,1
19993,0
19995,1
19998,1
19999,1
20002,0
20003,1
20005,0
20006,1
20009,0
20010,0
20011,0
20012,1
20013,1
20015,0
20016,0
20017,1
20020,1
20023,1
20025,0
20026,0
20027,0
20028,0
20029,0
20030,1
20032,1
20033,1
20035,1
20038,1
20041,0
20042,0
20044,1
20047,1
20050,1
20053,0
20055,0
20056,1
20058,1
20060,1
20063,1
20065,1
20066,1
20068,0
20070,0
20072,1
20075,0
20076,1
20078,1
20080,0
20081,0
20082,0
20084,1
20087,0
20089,1
20091,0
20092,1
20094,1
20097,0
20098,0
20100,1
20102,0
20103,0
20104,0
20105,0
20106,1
20108,0
20109,0
20110,0
20111,0
20112,1
20115,0
20116,0
20117,0
20118,1
20120,1
20123,1
20125,0
20126,0
20127,1
20129,1
20132,1
20134,0
20136,1
20139,0
20140,1
20142,1
20144,1
20147,1
20149,0
20151,1
20154,0
20156,1
20158,0
20159,1
20162,0
20164,1
20167,0
20168,0
20169,0
20170,1
20173,0
20174,0
20175,0
20176,1
20179,1
20182,1
20185,0
20187,1
20189,1
20191,0
20193,0
20194,0
20195,1
20197,0
20198,0
20199,0
20200,0
20201,0
20203,0
20204,1
20207,0
20208,1
20210,1
20213,0
20215,0
20216,1
20218,0
20219,1
20221,0
20222,0
20223,0
20224,1
20227,0
20228,0
20229,1
20231,1
20233,1
20236,0
20237,0
20238,1
20241,0
20243,1
20246,1
20248,0
20249,0
20251,0
20252,0
20253,0
20254,0
20255,1
20258,0
20259,0
20260,1
20263,0
20264,1
20266,1
20269,1
20271,1
20273,1
20276,0
20277,0
20278,1
20280,0
20281,1
20283,0
20284,1
20287,0
20289,1
20292,0
20294,0
20296,0
20297,1
20299,0
20300,0
20301,0
20302,0
20303,0
20304,0
20305,1
20307,0
20308,1
20310,0
20311,1
20314,1
20316,0
20317,1
20318,1
20320,0
20321,0
20322,1
20325,1
20327,0
20329,0
20331,1
20334,0
20335,0
20336,0
20337,1
20339,1
20341,1
20344,1
20347,0
20348,0
20349,0
20350,0
20351,0
20352,1
20355,0
20356,0
20357,1
20359,1
20361,0
20363,1
20366,0
20368,1
20371,0
20373,1
20376,0
20377,1
20380,1
20383,0
20384,1
20386,0
20387,0
20388,1
20390,1
20392,1
20394,1
20396,0
20397,1
20400,1
20403,1
20406,0
20407,1
20410,1
20413,1
20415,0
20416,0
20418,0
20419,0
20420,0
20422,0
20423,1
20426,0
20427,0
20428,1
20429,1
20431,0
20433,1
20435,1
20438,0
20439,1
20441,0
20442,0
20443,0
20445,0
20447,1
20450,1
20453,1
20454,1
20457,1
20458,1
20462,1
20464,1
20467,0
20468,0
20469,0
20470,0
20471,1
20473,0
20475,1
20478,0
20480,0
20482,1
20484,1
20487,1
20489,1
20492,0
20493,1
20495,1
20498,0
20499,0
20500,1
20502,1
20503,1
20505,1
20507,0
20509,0
20510,1
20512,1
20514,1
20516,1
20518,1
20521,1
20523,1
20526,1
20528,0
20529,0
20530,1
20533,1
20535,1
20537,0
20539,0
20541,0
20543,0
20544,1
20546,1
20549,1
20552,1
20554,1
20557,1
20559,1
20561,0
20562,1
20564,0
20566,0
20568,0
20570,0
20572,0
20573,1
20575,1
20578,0
20579,0
20580,0
20581,0
20582,1
20585,0
20586,0
20588,1
20590,1
20593,1
20596,1
20598,1
20601,0
20602,0
20603,1
20605,0
20606,0
20607,1
20610,1
20612,1
20614,0
20615,1
20618,1
20620,0
20621,0
20622,1
20625,0
20626,0
20627,1
20629,0
20630,0
20631,1
20634,0
20635,0
20636,0
20637,0
20638,1
20640,0
20641,0
20642,1
20644,1
20647,0
20649,1
20651,0
20652,0
20654,0
20655,0
20656,0
20657,1
20660,1
20662,0
20664,0
20666,0
20667,0
20669,0
20670,0
20671,1
20674,1
20677,1
20679,1
20682,1
20684,1
20687,1
20689,0
20691,0
20692,0
20693,0
20694,0
20695,0
20696,1
20698,1
20700,0
20702,0
20703,0
20705,0
20706,0
20708,1
20710,0
20711,0
20712,1
20714,0
20715,1
20718,0
20719,1
20721,1
20723,1
20726,0
20727,1
20729,1
20731,1
20734,1
20737,1
20740,0
20742,1
20745,1
20748,1
20751,1
20753,0
20754,0
20755,0
20756,1
20758,0
20759,1
20761,0
20763,0
20764,0
20765,0
20766,1
20768,0
20769,1
20772,1
20775,1
20777,1
20779,1
20781,0
20782,1
20784,1
20787,1
20789,1
20791,1
20793,1
20796,1
20798,1
20801,1
20804,1
20806,0
20807,0
20808,0
20809,0
20811,0
20813,0
20814,1
20816,0
20817,1
20819,1
20821,1
20824,0
20825,0
20826,1
20829,1
20830,1
20833,0
20834,0
20836,0
20837,0
20839,1
20841,1
20843,1
20845,0
20847,0
20848,0
20849,1
20851,1
20853,0
20855,1
20857,1
20859,1
20861,1
20863,0
20865,0
20866,1
20869,1
20872,1
20874,0
20875,0
20876,1
20879,1
20882,0
20883,1
20885,1
20888,0
20889,1
20892,0
20893,0
20894,0
20895,1
20898,1
20901,1
20903,0
20904,0
20905,0
20906,0
20908,1
20911,1
20913,1
20916,0
20917,0
20919,0
20920,0
20921,1
20924,1
20927,1
20930,0
20931,0
20933,1
20936,1
20938,0
20940,1
20942,0
20943,1
20945,0
20946,0
20948,0
20950,0
20952,1
20955,0
20957,0
20958,0
20960,1
20963,0
20965,1
20967,1
20969,0
20970,1
20972,1
20975,0
20977,0
20979,1
20982,1
20984,1
20986,0
20987,0
20988,1
20991,1
20993,1
20996,1
20999,0
21000,0
21001,1
21003,1
21006,1
21009,0
21010,1
21013,1
21015,1
21018,0
21020,0
21021,1
21023,1
21026,0
21027,0
21028,1
21029,1
21032,0
21034,0
21035,1
21038,0
21039,0
21040,1
21043,0
21045,0
21047,0
21049,0
21050,1
21052,1
21055,1
21057,0
21058,0
21059,1
21062,0
21063,0
21064,1
21066,1
21069,1
21072,1
21074,1
21076,1
21078,1
21080,0
21082,1
21084,0
21085,0
21086,1
21089,0
21091,0
21093,1
21096,1
21099,0
21100,0
21102,0
21103,0
21105,0
21106,1
21108,0
21109,1
21111,1
21114,1
21117,1
21120,1
21123,0
21124,1
21126,0
21127,0
21128,1
21131,1
21134,1
21136,0
21138,0
21139,0
21140,0
21142,0
21143,1
21146,0
21147,1
21149,1
21150,1
21153,0
21154,1
21157,0
21159,0
21160,0
21161,1
21163,0
21164,0
21165,0
21166,0
21167,1
21170,1
21172,1
21174,0
21175,1
21177,1
21179,0
21180,1
21183,1
21186,0
21187,0
21188,0
21190,0
21192,0
21194,1
21197,1
21199,1
21202,0
21203,1
21205,1
21208,1
21210,0
21211,1
21214,0
21216,0
21217,0
21218,1
21221,0
21222,0
21223,0
21224,1
21226,1
21228,1
21231,1
21233,1
21235,0
21237,0
21238,0
21239,1
21242,0
21243,0
21244,1
21246,0
21247,1
21250,1
21252,1
21254,1
21257,0
21258,1
21260,0
21261,1
21263,1
21265,1
21267,0
21268,0
21270,0
21272,1
21274,0
21275,0
21276,0
21277,0
21278,1
21280,1
21283,1
21286,0
21287,1
21289,0
21291,0
21293,0
21295,1
21297,1
21299,0
21301,0
21302,1
21304,1
21306,1
21307,1
21310,1
21312,1
21315,0
21317,0
21319,1
21321,1
21323,1
21326,1
21328,0
21329,0
21330,1
21332,1
21335,0
21336,0
21337,0
21339,0
21340,1
21342,0
21343,0
21344,0
21345,0
21346,1
21349,0
21350,0
21351,1
21353,1
21356,1
21358,0
21359,1
21361,1
21364,1
21366,1
21368,0
21369,0
21370,1
21373,0
21374,0
21375,1
21377,0
21379,0
21381,1
21383,1
21384,1
21386,1
21389,1
21391,0
21393,0
21395,1
21397,1
21400,0
21401,0
21402,0
21403,1
21405,0
21406,0
21407,0
21408,1
21410,1
21413,1
21416,0
21417,1
21419,1
21422,1
21424,1
21426,0
21427,1
21429,0
21431,1
21434,1
21437,1
